race,driver,team,grid_position,quali_position,driver_points,avg_track_temp,rainfall,avg_lap_gap,n_pitstops,dnf,finish_position,won
Bahrain,VER,Red Bull Racing,1.0,1.0,0.0,23.652866242038222,0,3.077150943396248,2,0,1.0,1
Bahrain,PER,Red Bull Racing,5.0,5.0,0.0,23.652866242038222,0,3.642309090909066,2,0,2.0,0
Bahrain,SAI,Ferrari,4.0,4.0,0.0,23.652866242038222,0,3.7012181818181915,2,0,3.0,0
Bahrain,LEC,Ferrari,2.0,2.0,0.0,23.652866242038222,0,3.855648148148134,2,0,4.0,0
Bahrain,RUS,Mercedes,3.0,3.0,0.0,23.652866242038222,0,4.042963636363623,2,0,5.0,0
Bahrain,NOR,McLaren,7.0,7.0,0.0,23.652866242038222,0,3.9913333333333156,2,0,6.0,0
Bahrain,HAM,Mercedes,9.0,9.0,0.0,23.652866242038222,0,4.027648148148145,2,0,7.0,0
Bahrain,PIA,McLaren,8.0,8.0,0.0,23.652866242038222,0,4.056981481481486,2,0,8.0,0
Bahrain,ALO,Aston Martin,6.0,6.0,0.0,23.652866242038222,0,4.394566037735842,2,0,9.0,0
Bahrain,STR,Aston Martin,12.0,12.0,0.0,23.652866242038222,0,4.675129629629652,2,0,10.0,0
Bahrain,ZHO,Kick Sauber,17.0,17.0,0.0,23.652866242038222,0,4.944754716981137,2,1,11.0,0
Bahrain,MAG,Haas F1 Team,15.0,15.0,0.0,23.652866242038222,0,4.983924528301884,2,1,12.0,0
Bahrain,RIC,RB,14.0,14.0,0.0,23.652866242038222,0,4.8815384615384545,2,1,13.0,0
Bahrain,TSU,RB,11.0,11.0,0.0,23.652866242038222,0,5.009622641509438,2,1,14.0,0
Bahrain,ALB,Williams,13.0,13.0,0.0,23.652866242038222,0,5.047981132075449,2,1,15.0,0
Bahrain,HUL,Haas F1 Team,10.0,10.0,0.0,23.652866242038222,0,4.374711538461526,3,1,16.0,0
Bahrain,OCO,Alpine,19.0,19.0,0.0,23.652866242038222,0,5.339150943396234,2,1,17.0,0
Bahrain,GAS,Alpine,20.0,20.0,0.0,23.652866242038222,0,4.796843137254896,3,1,18.0,0
Bahrain,BOT,Kick Sauber,16.0,16.0,0.0,23.652866242038222,0,5.179384615384606,2,1,19.0,0
Bahrain,SAR,Williams,18.0,18.0,0.0,23.652866242038222,0,4.904812499999991,3,1,20.0,0
Saudi Arabia,VER,Red Bull Racing,1.0,1.0,26.0,31.59315068493151,0,1.352595744680869,1,0,1.0,1
Saudi Arabia,PER,Red Bull Racing,3.0,3.0,18.0,31.59315068493151,0,1.5815319148936169,1,0,2.0,0
Saudi Arabia,LEC,Ferrari,2.0,2.0,12.0,31.59315068493151,0,1.8153829787233775,1,0,3.0,0
Saudi Arabia,PIA,McLaren,5.0,5.0,4.0,31.59315068493151,0,2.150744680851048,1,0,4.0,0
Saudi Arabia,ALO,Aston Martin,4.0,4.0,2.0,31.59315068493151,0,2.2379787234042396,1,0,5.0,0
Saudi Arabia,RUS,Mercedes,7.0,7.0,10.0,31.59315068493151,0,2.2562173913043466,1,0,6.0,0
Saudi Arabia,BEA,Ferrari,11.0,11.0,0.0,31.59315068493151,0,2.3996956521739037,1,0,7.0,0
Saudi Arabia,NOR,McLaren,6.0,6.0,8.0,31.59315068493151,0,2.0432222222222265,1,0,8.0,0
Saudi Arabia,HAM,Mercedes,8.0,8.0,6.0,31.59315068493151,0,2.1308666666666767,1,0,9.0,0
Saudi Arabia,HUL,Haas F1 Team,15.0,15.0,0.0,31.59315068493151,0,2.8428222222222246,1,0,10.0,0
Saudi Arabia,ALB,Williams,12.0,12.0,0.0,31.59315068493151,0,3.271555555555551,1,0,11.0,0
Saudi Arabia,MAG,Haas F1 Team,13.0,13.0,0.0,31.59315068493151,0,3.233888888888913,1,0,12.0,0
Saudi Arabia,OCO,Alpine,17.0,17.0,0.0,31.59315068493151,0,3.702866666666665,1,1,13.0,0
Saudi Arabia,SAR,Williams,19.0,19.0,0.0,31.59315068493151,0,3.632499999999993,1,1,14.0,0
Saudi Arabia,TSU,RB,9.0,9.0,0.0,31.59315068493151,0,3.65473333333334,1,1,15.0,0
Saudi Arabia,RIC,RB,14.0,14.0,0.0,31.59315068493151,0,3.7099534883720793,1,1,16.0,0
Saudi Arabia,BOT,Kick Sauber,16.0,16.0,0.0,31.59315068493151,0,3.5879534883720936,2,1,17.0,0
Saudi Arabia,ZHO,Kick Sauber,20.0,20.0,0.0,31.59315068493151,0,3.3878181818181616,1,1,18.0,0
Saudi Arabia,STR,Aston Martin,10.0,10.0,1.0,31.59315068493151,0,4.162750000000003,0,1,19.0,0
Saudi Arabia,GAS,Alpine,18.0,18.0,0.0,31.59315068493151,0,29.820999999999998,1,1,20.0,0
Australia,SAI,Ferrari,2.0,2.0,15.0,38.40208333333333,0,1.6453333333333262,2,0,1.0,1
Australia,LEC,Ferrari,4.0,5.0,28.0,38.40208333333333,0,1.678060000000002,2,0,2.0,0
Australia,NOR,McLaren,3.0,4.0,12.0,38.40208333333333,0,1.738979999999998,2,0,3.0,0
Australia,PIA,McLaren,5.0,6.0,16.0,38.40208333333333,0,2.0547399999999953,2,0,4.0,0
Australia,PER,Red Bull Racing,6.0,3.0,36.0,38.40208333333333,0,2.209639999999993,2,0,5.0,0
Australia,STR,Aston Martin,9.0,9.0,1.0,38.40208333333333,0,2.7969400000000064,2,0,6.0,0
Australia,TSU,RB,8.0,8.0,0.0,38.40208333333333,0,2.841940000000008,2,0,7.0,0
Australia,ALO,Aston Martin,10.0,10.0,12.0,38.40208333333333,0,2.6187843137254987,2,0,8.0,0
Australia,HUL,Haas F1 Team,16.0,16.0,1.0,38.40208333333333,0,3.0512156862745172,2,0,9.0,0
Australia,MAG,Haas F1 Team,14.0,14.0,0.0,38.40208333333333,0,3.07444000000001,2,1,10.0,0
Australia,ALB,Williams,12.0,12.0,0.0,38.40208333333333,0,3.1555800000000005,2,1,11.0,0
Australia,RIC,RB,18.0,18.0,0.0,38.40208333333333,0,3.076819999999998,2,1,12.0,0
Australia,GAS,Alpine,17.0,17.0,0.0,38.40208333333333,0,3.333420000000018,2,1,13.0,0
Australia,BOT,Kick Sauber,13.0,13.0,0.0,38.40208333333333,0,3.0249999999999915,2,1,14.0,0
Australia,ZHO,Kick Sauber,19.0,19.0,0.0,38.40208333333333,0,3.158122448979597,2,1,15.0,0
Australia,OCO,Alpine,15.0,15.0,0.0,38.40208333333333,0,3.084145833333338,3,1,16.0,0
Australia,RUS,Mercedes,7.0,7.0,18.0,38.40208333333333,0,2.5573061224489777,2,1,17.0,0
Australia,HAM,Mercedes,11.0,11.0,8.0,38.40208333333333,0,3.8700769230769083,1,1,18.0,0
Australia,VER,Red Bull Racing,1.0,1.0,51.0,38.40208333333333,0,5.077666666666673,1,1,19.0,0
Japan,VER,Red Bull Racing,1.0,1.0,51.0,37.50110497237569,0,2.390276595744666,3,0,1.0,1
Japan,PER,Red Bull Racing,2.0,2.0,46.0,37.50110497237569,0,2.669404255319151,3,0,2.0,0
Japan,SAI,Ferrari,4.0,4.0,40.0,37.50110497237569,0,2.796510638297903,3,0,3.0,0
Japan,LEC,Ferrari,8.0,8.0,47.0,37.50110497237569,0,3.212249999999983,2,0,4.0,0
Japan,NOR,McLaren,3.0,3.0,27.0,37.50110497237569,0,3.05058333333335,3,0,5.0,0
Japan,ALO,Aston Martin,5.0,5.0,16.0,37.50110497237569,0,3.3459166666666675,3,0,6.0,0
Japan,RUS,Mercedes,9.0,9.0,18.0,37.50110497237569,0,3.3535833333333187,3,0,7.0,0
Japan,PIA,McLaren,6.0,6.0,28.0,37.50110497237569,0,3.3440208333333317,3,0,8.0,0
Japan,HAM,Mercedes,7.0,7.0,8.0,37.50110497237569,0,3.2683043478260743,3,0,9.0,0
Japan,TSU,RB,10.0,10.0,6.0,37.50110497237569,0,4.3604680851063335,3,1,10.0,0
Japan,HUL,Haas F1 Team,12.0,12.0,3.0,37.50110497237569,0,4.287760869565204,3,1,11.0,0
Japan,STR,Aston Martin,16.0,16.0,9.0,37.50110497237569,0,4.234695652173926,4,1,12.0,0
Japan,MAG,Haas F1 Team,18.0,18.0,1.0,37.50110497237569,0,4.964416666666665,2,1,13.0,0
Japan,BOT,Kick Sauber,13.0,13.0,0.0,37.50110497237569,0,4.614382978723398,3,1,14.0,0
Japan,OCO,Alpine,15.0,15.0,0.0,37.50110497237569,0,5.155680851063835,3,1,15.0,0
Japan,GAS,Alpine,17.0,17.0,0.0,37.50110497237569,0,5.32182608695652,3,1,16.0,0
Japan,SAR,Williams,19.0,19.0,0.0,37.50110497237569,0,4.288931818181837,4,1,17.0,0
Japan,ZHO,Kick Sauber,20.0,20.0,0.0,37.50110497237569,0,6.074999999999974,4,1,18.0,0
Japan,RIC,RB,11.0,11.0,0.0,37.50110497237569,0,5.0,0,1,19.0,0
Japan,ALB,Williams,14.0,14.0,0.0,37.50110497237569,0,5.0,0,1,20.0,0
China,VER,Red Bull Racing,1.0,1.0,77.0,29.792727272727273,0,2.0084999999999837,2,0,1.0,1
China,NOR,McLaren,4.0,4.0,37.0,29.792727272727273,0,2.9838695652173755,1,0,2.0,0
China,PER,Red Bull Racing,2.0,2.0,64.0,29.792727272727273,0,2.7106046511627824,2,0,3.0,0
China,LEC,Ferrari,6.0,6.0,59.0,29.792727272727273,0,3.1691590909091047,1,0,4.0,0
China,SAI,Ferrari,7.0,7.0,55.0,29.792727272727273,0,3.3930000000000007,1,0,5.0,0
China,RUS,Mercedes,8.0,8.0,24.0,29.792727272727273,0,3.485511627906959,2,0,6.0,0
China,ALO,Aston Martin,3.0,3.0,24.0,29.792727272727273,0,3.019804878048774,3,0,7.0,0
China,PIA,McLaren,5.0,5.0,32.0,29.792727272727273,0,3.9104883720930133,2,0,8.0,0
China,HAM,Mercedes,18.0,18.0,10.0,29.792727272727273,0,4.078238095238106,2,0,9.0,0
China,HUL,Haas F1 Team,9.0,9.0,3.0,29.792727272727273,0,4.164883720930234,2,0,10.0,0
China,OCO,Alpine,13.0,13.0,0.0,29.792727272727273,0,4.130357142857122,2,0,11.0,0
China,ALB,Williams,14.0,14.0,0.0,29.792727272727273,0,4.3437142857142845,2,0,12.0,0
China,GAS,Alpine,15.0,15.0,0.0,29.792727272727273,0,3.716425000000001,3,0,13.0,0
China,ZHO,Kick Sauber,16.0,16.0,0.0,29.792727272727273,0,3.9665999999999997,3,0,14.0,0
China,STR,Aston Martin,11.0,11.0,9.0,29.792727272727273,0,3.7733953488372123,4,0,15.0,0
China,MAG,Haas F1 Team,17.0,17.0,1.0,29.792727272727273,0,4.768738095238064,2,0,16.0,0
China,SAR,Williams,20.0,20.0,0.0,29.792727272727273,0,4.8309761904761785,2,0,17.0,0
China,RIC,RB,12.0,12.0,0.0,29.792727272727273,0,5.348736842105254,2,1,18.0,0
China,TSU,RB,19.0,19.0,7.0,29.792727272727273,0,5.412777777777777,2,1,19.0,0
China,BOT,Kick Sauber,10.0,10.0,0.0,29.792727272727273,0,5.384666666666661,1,1,20.0,0
Miami,NOR,McLaren,5.0,5.0,55.0,44.664,0,1.4941176470588147,1,0,1.0,1
Miami,VER,Red Bull Racing,1.0,1.0,102.0,44.664,0,1.6067599999999942,1,0,2.0,0
Miami,LEC,Ferrari,2.0,2.0,71.0,44.664,0,1.6812448979591608,1,0,3.0,0
Miami,PER,Red Bull Racing,4.0,4.0,79.0,44.664,0,1.7959583333333313,2,0,4.0,0
Miami,SAI,Ferrari,3.0,3.0,65.0,44.664,0,1.8831568627450963,1,0,5.0,0
Miami,HAM,Mercedes,8.0,8.0,12.0,44.664,0,2.110395833333328,1,0,6.0,0
Miami,TSU,RB,10.0,10.0,7.0,44.664,0,2.4385400000000033,1,0,7.0,0
Miami,RUS,Mercedes,7.0,7.0,32.0,44.664,0,2.5806734693877615,1,0,8.0,0
Miami,ALO,Aston Martin,15.0,15.0,31.0,44.664,0,2.7371836734693886,1,0,9.0,0
Miami,OCO,Alpine,13.0,13.0,0.0,44.664,0,2.7054081632652895,1,0,10.0,0
Miami,HUL,Haas F1 Team,9.0,9.0,4.0,44.664,0,2.6056595744680635,2,0,11.0,0
Miami,GAS,Alpine,12.0,12.0,0.0,44.664,0,2.694106382978731,1,0,12.0,0
Miami,PIA,McLaren,6.0,6.0,36.0,44.664,0,1.9287708333333313,2,0,13.0,0
Miami,ZHO,Kick Sauber,19.0,20.0,0.0,44.664,0,2.9717755102040826,1,0,14.0,0
Miami,RIC,RB,20.0,18.0,0.0,44.664,0,3.0428367346938785,1,0,15.0,0
Miami,BOT,Kick Sauber,16.0,16.0,0.0,44.664,0,2.9003541666666592,2,0,16.0,0
Miami,STR,Aston Martin,11.0,11.0,9.0,44.664,0,2.6208936170212667,2,0,17.0,0
Miami,ALB,Williams,14.0,14.0,0.0,44.664,0,2.8046888888888617,2,0,18.0,0
Miami,MAG,Haas F1 Team,18.0,19.0,1.0,44.664,0,2.759265306122458,3,0,19.0,0
Miami,SAR,Williams,17.0,17.0,0.0,44.664,0,3.8151666666666557,1,1,20.0,0
Monaco,LEC,Ferrari,1.0,1.0,86.0,46.318000000000005,0,3.8842205882352943,1,0,1.0,1
Monaco,PIA,McLaren,2.0,2.0,36.0,46.318000000000005,0,4.171287671232889,1,0,2.0,0
Monaco,SAI,Ferrari,3.0,3.0,75.0,46.318000000000005,0,3.781661290322589,1,0,3.0,0
Monaco,NOR,McLaren,4.0,4.0,80.0,46.318000000000005,0,4.11944444444444,1,0,4.0,0
Monaco,RUS,Mercedes,5.0,5.0,36.0,46.318000000000005,0,3.8305384615384384,1,0,5.0,0
Monaco,VER,Red Bull Racing,6.0,6.0,120.0,46.318000000000005,0,3.228624999999994,2,0,6.0,0
Monaco,HAM,Mercedes,7.0,7.0,20.0,46.318000000000005,0,2.8538599999999974,2,0,7.0,0
Monaco,TSU,RB,8.0,8.0,13.0,46.318000000000005,0,4.038172413793092,1,1,8.0,0
Monaco,ALB,Williams,9.0,9.0,0.0,46.318000000000005,0,5.659594202898546,1,1,9.0,0
Monaco,GAS,Alpine,10.0,10.0,0.0,46.318000000000005,0,5.236176470588234,1,1,10.0,0
Monaco,ALO,Aston Martin,14.0,14.0,33.0,46.318000000000005,0,6.145114285714271,1,1,11.0,0
Monaco,RIC,RB,12.0,12.0,0.0,46.318000000000005,0,6.01086567164181,1,1,12.0,0
Monaco,BOT,Kick Sauber,17.0,17.0,0.0,46.318000000000005,0,5.601693548387104,2,1,13.0,0
Monaco,STR,Aston Martin,13.0,13.0,9.0,46.318000000000005,0,5.357437499999989,3,1,14.0,0
Monaco,SAR,Williams,15.0,15.0,0.0,46.318000000000005,0,4.559571428571417,2,1,15.0,0
Monaco,ZHO,Kick Sauber,18.0,18.0,0.0,46.318000000000005,0,4.072384615384607,2,1,16.0,0
Monaco,OCO,Alpine,11.0,11.0,1.0,46.318000000000005,0,5.0,0,1,17.0,0
Monaco,PER,Red Bull Racing,16.0,16.0,91.0,46.318000000000005,0,5.0,0,1,18.0,0
